id,TmStamp,H,u,u_e,u_n
series_1,2023-10-29 19:00:00,3.75820222,5.530639423029088,3.423436278952084,-4.343737615408904
series_1,2023-10-29 20:00:00,3.4970473560000004,5.453334777433012,2.4353330617483095,-4.879345557871051
series_1,2023-10-29 21:00:00,3.266404304,5.237022489946448,2.5777647928554135,-4.558676697564764
series_1,2023-10-29 22:00:00,2.844160196,5.2644740015697495,1.2706420836092858,-5.108831100023259
series_1,2023-10-29 23:00:00,2.66076124,5.027519869406827,0.9250715607276161,-4.941679739199356
series_1,2023-10-30 00:00:00,2.483923964,5.5554857664017,-0.09487704823124227,-5.554675548257595
series_1,2023-10-30 01:00:00,2.567585384,5.424578578895477,0.526318153113279,-5.398985271355636
series_1,2023-10-30 02:00:00,2.434711364,4.539282981198105,-1.284924564846167,-4.35362594236685
series_1,2023-10-30 03:00:00,2.380577504,4.712611889527479,-2.484652767040408,-4.0043990121557815
series_1,2023-10-30 04:00:00,2.70505258,4.366046862314845,-2.670148181159511,-3.454370260203712
series_1,2023-10-30 05:00:00,2.80183736,4.408236237435875,-2.7063063322077654,-3.4797202130767566
series_1,2023-10-30 06:00:00,2.79527568,4.860548423497073,-4.179041858401257,-2.4820435376701266
series_1,2023-10-30 07:00:00,2.460958084,4.835203603595094,-4.6190802193741956,-1.4294375870268075
series_1,2023-10-30 08:00:00,2.33923892,5.977571061378093,-5.587247671585679,-2.124622142919824
series_1,2023-10-30 09:00:00,2.208333404,6.999756312420564,-6.990463792843828,0.36056122116918665
series_1,2023-10-30 10:00:00,2.5718504760000003,7.0844595254279055,-6.977197589689688,1.2281207440046733
series_1,2023-10-30 11:00:00,2.517716616,7.456816500757728,-7.353678523076099,1.235930623142756
series_1,2023-10-30 12:00:00,2.47047252,8.216895693062378,-8.198144384875574,0.5548003923936584
series_1,2023-10-30 13:00:00,2.748031584,8.178203087929063,-7.912403699150202,2.0680603107952744
series_1,2023-10-30 14:00:00,2.889763872,8.978847615546746,-8.944080033352506,0.7893901824791765
series_1,2023-10-30 15:00:00,3.73031508,8.027777692944403,-8.01371024331958,-0.4750398124900923
series_1,2023-10-30 16:00:00,4.085958136,8.945486692244318,-7.726797141754705,-4.5075867258757745
series_1,2023-10-30 17:00:00,4.478018516,11.488061524829057,-8.609988501926923,-7.605501666224516
series_1,2023-10-30 18:00:00,4.546259988,12.043092958000132,-8.737368071663022,-8.28821375058076
series_1,2023-10-30 19:00:00,5.038385988,11.81019169857804,-9.014279546382598,-7.630425428298871
series_1,2023-10-30 20:00:00,5.720800708,11.112259089283718,-8.345992472575084,-7.336668979522564
series_1,2023-10-30 21:00:00,5.412729832,9.686733428447228,-7.50478117635637,-6.124627662870951
series_1,2023-10-30 22:00:00,5.860892576,9.430778435233375,-6.853138250730062,-6.478740464846803
series_1,2023-10-30 23:00:00,5.343832192,7.565538907044894,-5.362462993799878,-5.336793943383697
series_1,2023-10-31 00:00:00,5.495078916,6.475192007226086,-1.5639228299186199,-6.283490822186655
series_1,2023-10-31 01:00:00,5.16404216,6.945720929927123,0.708970945109415,-6.909442773148814
series_1,2023-10-31 02:00:00,4.301837408,10.734944305253832,2.151758591413225,-10.517079642238194
series_1,2023-10-31 03:00:00,4.420603816,9.136561604197828,3.021184524795923,-8.622598333126483
series_1,2023-10-31 04:00:00,4.270013260000001,10.550506217213114,5.134516508064066,-9.216828178276415
series_1,2023-10-31 05:00:00,4.805774432000001,13.169476263251271,4.18487985627773,-12.48686852805216
series_1,2023-10-31 06:00:00,5.205380744,12.818651563853633,4.681121339817316,-11.933353716260745
series_1,2023-10-31 07:00:00,5.818897824,13.18601598561449,4.9916249749074,-12.20469981944503
series_1,2023-10-31 08:00:00,6.270997576,12.123442833394819,4.576946579505556,-11.226282828387346
series_1,2023-10-31 09:00:00,6.045931952,10.542768531145287,4.0661467214669305,-9.72709715900952
series_1,2023-10-31 10:00:00,5.429134032,10.095782053206111,4.860584215714038,-8.848702523409303
series_1,2023-10-31 11:00:00,4.716535584,8.955256848103945,6.778513453267471,-5.852211597283927
series_1,2023-10-31 12:00:00,5.15748048,9.166460279548609,5.56482327242507,-7.284005491707068
series_1,2023-10-31 13:00:00,5.51673246,9.30137923533958,5.632424212426732,-7.402124909164626
series_1,2023-10-31 14:00:00,5.591535612,8.93780152543943,3.4190716629267377,-8.257980689727894
series_1,2023-10-31 15:00:00,5.486548731999999,8.483470191573968,5.014921659582179,-6.842501533765087
series_1,2023-10-31 16:00:00,4.94094504,6.834288505250482,2.2058865258457905,-6.468505546731088
series_1,2023-10-31 17:00:00,4.618766551999999,6.790265404182851,2.7947932026886337,-6.188443682659471
series_1,2023-10-31 18:00:00,4.069225852,6.23619827877399,2.1149532013354895,-5.866612474703304
series_1,2023-10-31 19:00:00,3.761811144,5.6021485178221235,0.7876871503847698,-5.546495918041889
series_1,2023-10-31 20:00:00,3.58103686,4.4982523741026315,-0.12069860992881115,-4.496632769826908
series_1,2023-10-31 21:00:00,3.1305775280000003,5.453299241270875,0.14087196142368524,-5.451479405200954
series_1,2023-10-31 22:00:00,2.81496072,4.734199967904241,0.07944510384255041,-4.733533332678662
series_1,2023-10-31 23:00:00,2.659448904,4.104529547854474,-1.1501988779286045,-3.9400768203706678
series_1,2023-11-01 00:00:00,2.48195546,4.850325725856045,-1.5158543924206809,-4.607368566533386
series_1,2023-11-01 01:00:00,2.353346532,4.890911021317189,-2.0281330405114715,-4.4505827695289115
series_1,2023-11-01 02:00:00,2.005249408,5.01357126674713,-2.979252032128853,-4.032363348683812
series_1,2023-11-01 03:00:00,1.9520998,5.3875874043058865,-3.877144934165364,-3.7408348264139235
series_1,2023-11-01 04:00:00,2.021653608,6.0524481347925025,-3.6835873148597194,-4.802427814986688
series_1,2023-11-01 05:00:00,2.05544626,5.866091544559046,-1.9731102037828787,-5.524297795455547
series_1,2023-11-01 06:00:00,2.2637796,8.607927059538813,-4.1458044017895705,-7.543786458035696
series_1,2023-11-01 07:00:00,2.89698172,8.626522874831283,-5.721646708305591,-6.455978303504681
series_1,2023-11-01 08:00:00,2.680118196,7.187403622731663,-1.1639621877043336,-7.092528664845196
series_1,2023-11-01 09:00:00,2.5715223920000003,6.68072757966041,-3.5283341916179976,-5.673004391492626
series_1,2023-11-01 10:00:00,2.43930454,7.684705746110156,-4.374570793623122,-6.318056091542557
series_1,2023-11-01 11:00:00,2.522637876,8.243934294307957,-4.350830493101533,-7.00233722903751
series_1,2023-11-01 12:00:00,2.83464576,7.935775976982472,-4.828554370198277,-6.29774587061841
series_1,2023-11-01 13:00:00,2.971784872,9.776051446889772,-4.391458661620769,-8.734201320985882
series_1,2023-11-01 14:00:00,3.09055128,11.378581050687266,-5.577194255723011,-9.918014466665673
series_1,2023-11-01 15:00:00,3.665354448,12.119664708011042,-6.319230168424979,-10.341837492103423
series_1,2023-11-01 16:00:00,4.668963404,12.171130639483195,-5.597221035076241,-10.807753593039891
series_1,2023-11-01 17:00:00,4.959973912,10.972544240557228,-2.933261157370625,-10.57320699190394
series_1,2023-11-01 18:00:00,5.362204896000001,11.236591521182623,-4.169539376876037,-10.434362960842094
series_1,2023-11-01 19:00:00,5.202756072000001,11.798583403230767,-3.9644147705725388,-11.112604818396935
series_1,2023-11-01 20:00:00,5.295931928,11.083070646598326,-2.519057126176313,-10.792998015035014
series_1,2023-11-01 21:00:00,4.7857613080000005,10.529931048179924,-0.39948616646241575,-10.522350435251086
series_1,2023-11-01 22:00:00,4.887795432,10.07798134296075,0.46760532144213185,-10.067127356521521
series_1,2023-11-01 23:00:00,4.600393848,10.173160000859534,-0.41436030214432007,-10.164717897860974
series_1,2023-11-02 00:00:00,5.43307104,10.239346772418843,-1.0614172373958441,-10.184184590530709
series_1,2023-11-02 01:00:00,5.591535612,9.858777888037107,0.7963789626861275,-9.82656002848608
series_1,2023-11-02 02:00:00,5.664042176,9.434574158751058,0.6733845535062494,-9.410512355874808
series_1,2023-11-02 03:00:00,5.14107628,8.485006829895651,-0.13962359558973336,-8.483857975881635
series_1,2023-11-02 04:00:00,5.732939816,8.429730592892115,-0.8554515493072398,-8.386212525063332
series_1,2023-11-02 05:00:00,4.889107768,7.868334250545596,1.2433259243228496,-7.769480325235122
series_1,2023-11-02 06:00:00,4.408464708,7.880715105427018,1.8039469580692795,-7.671469607928989
series_1,2023-11-02 07:00:00,4.275590687999999,8.322429618655105,1.5463243799587563,-8.177512804600976
